Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score,Dataset
MLPClassifier,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
RandomForestClassifier,TF-IDF,0.52814739,0.523424777,0.525358487,0.52814739,0.521497326,Eclipse
RandomForestClassifier,DistilBERT,0.544524053,0.540646039,0.542692926,0.544524053,0.540200997,Eclipse
RandomForestClassifier,GCN,0.536335722,0.530889562,0.533800027,0.536335722,0.52751387,Eclipse
RandomForestClassifier,RNN,0.501535312,0.500780686,0.50157611,0.501535312,0.501555186,Eclipse
SVC,TF-IDF,0.533265097,0.523353424,0.531204271,0.533265097,0.50220848,Eclipse
SVC,DistilBERT,0.543500512,0.540480248,0.541946067,0.543500512,0.540931959,Eclipse
SVC,GCN,0.504605937,0.500214059,0.501019349,0.504605937,0.498705975,Eclipse
SVC,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
KNeighborsClassifier,TF-IDF,0.501535312,0.49627915,0.49684755,0.501535312,0.492913163,Eclipse
KNeighborsClassifier,DistilBERT,0.519959058,0.517760606,0.518672563,0.519959058,0.518649009,Eclipse
KNeighborsClassifier,GCN,0.483111566,0.481017998,0.4817193,0.483111566,0.481930423,Eclipse
KNeighborsClassifier,RNN,0.487205732,0.48634639,0.487163701,0.487205732,0.487184207,Eclipse
MultinomialNB,TF-IDF,0.530194473,0.521546514,0.526869,0.530194473,0.506839421,Eclipse
MultinomialNB,DistilBERT,0.540429887,0.534089955,0.538240138,0.540429887,0.528431491,Eclipse
MultinomialNB,GCN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MultinomialNB,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MLPClassifier,TF-IDF,0.5209826,0.524228548,0.525787173,0.5209826,0.518070361,Eclipse
MLPClassifier,DistilBERT,0.523029683,0.519158286,0.520529375,0.523029683,0.518601017,Eclipse
MLPClassifier,GCN,0.497441146,0.495779679,0.49656801,0.497441146,0.496775246,Eclipse
MLPClassifier,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
