Dataset,Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score
GCC,MLPClassifier,BERT,0.597,0.534440065,0.567601052,0.597,0.563532459
GCC,RandomForestClassifier,TF-IDF,0.6,0.532646048,0.568162129,0.6,0.560019427
GCC,RandomForestClassifier,BERT,0.623,0.536343575,0.600670178,0.623,0.550192591
GCC,SVC,TF-IDF,0.611,0.515691328,0.570720781,0.611,0.516682821
GCC,SVC,BERT,0.599,0.534659053,0.568912655,0.599,0.563203458
GCC,KNeighborsClassifier,TF-IDF,0.557,0.498458662,0.52331097,0.557,0.528400348
GCC,KNeighborsClassifier,BERT,0.576,0.540866518,0.565468199,0.576,0.569101791
GCC,MultinomialNB,TF-IDF,0.624,0.534802237,0.604474567,0.624,0.545738868
GCC,MultinomialNB,BERT,0.613,0.523456977,0.578119453,0.613,0.532991447
GCC,MLPClassifier,TF-IDF,0.526,0.488225187,0.51345331,0.526,0.518288323
GCC,MLPClassifier,BERT,0.624,0.561687218,0.602374126,0.624,0.591324041
GCC,RandomForestClassifier,TF-IDF,0.555,0.488334681,0.510337782,0.555,0.515275657
GCC,RandomForestClassifier,BERT,0.616,0.524492959,0.58535586,0.616,0.531668265
GCC,SVC,TF-IDF,0.605,0.516449363,0.560416524,0.605,0.526598103
GCC,SVC,BERT,0.611,0.544462974,0.583552439,0.611,0.57244864
GCC,KNeighborsClassifier,TF-IDF,0.606,0.551226332,0.583467603,0.606,0.581850766
GCC,KNeighborsClassifier,BERT,0.594,0.561704063,0.585588866,0.594,0.588560975
GCC,MultinomialNB,TF-IDF,0.625,0.535147564,0.607496464,0.625,0.545354597
GCC,MultinomialNB,BERT,0.627,0.537724884,0.611923178,0.627,0.548838055
GCC,MLPClassifier,TF-IDF,0.611,0.563801294,0.593415925,0.611,0.594288593
GCC,MLPClassifier,BERT,0.598,0.564028704,0.58835475,0.598,0.591459717
GCC,RandomForestClassifier,TF-IDF,0.62,0.562192575,0.598765567,0.62,0.592614669
GCC,RandomForestClassifier,BERT,0.632,0.542753184,0.624402988,0.632,0.554364912
GCC,SVC,TF-IDF,0.623,0.531626912,0.603696046,0.623,0.539652147
GCC,SVC,BERT,0.596,0.528434742,0.562605611,0.596,0.555619621
GCC,KNeighborsClassifier,TF-IDF,0.58,0.526211172,0.554315087,0.58,0.556889874
GCC,KNeighborsClassifier,BERT,0.567,0.533985244,0.55832008,0.567,0.561647126
GCC,MultinomialNB,TF-IDF,0.605,0.513619365,0.557630706,0.605,0.519974011
GCC,MultinomialNB,BERT,0.618,0.527070278,0.590398325,0.618,0.535220274
GCC,MLPClassifier,TF-IDF,0.568,0.519708914,0.546014286,0.568,0.550591358
GCC,MLPClassifier,BERT,0.633,0.561021831,0.61447534,0.633,0.587282256
GCC,RandomForestClassifier,TF-IDF,0.596,0.534094738,0.566813303,0.596,0.563365073
GCC,RandomForestClassifier,BERT,0.618,0.529900276,0.58984,0.618,0.541659641
GCC,SVC,TF-IDF,0.622,0.531281585,0.600558612,0.622,0.540087077
GCC,SVC,BERT,0.627,0.560836534,0.605636097,0.627,0.589400289
GCC,KNeighborsClassifier,TF-IDF,0.576576577,0.540887673,0.56579151,0.576576577,0.569485761
GCC,KNeighborsClassifier,BERT,0.563563564,0.527891777,0.552858307,0.563563564,0.556739921
GCC,MultinomialNB,TF-IDF,0.635635636,0.545390637,0.633532557,0.635635636,0.557250765
GCC,MultinomialNB,BERT,0.600600601,0.513945888,0.552802057,0.600600601,0.527181692
GCC,MLPClassifier,TF-IDF,0.573573574,0.525136799,0.552053667,0.573573574,0.556286016
GCC,MLPClassifier,BERT,0.624624625,0.550653595,0.60105217,0.624624625,0.576098531
GCC,RandomForestClassifier,TF-IDF,0.614614615,0.550558596,0.589360004,0.614614615,0.580010725
GCC,RandomForestClassifier,BERT,0.622622623,0.534769722,0.599237049,0.622622623,0.548287716
GCC,SVC,TF-IDF,0.614614615,0.523008816,0.580726533,0.614614615,0.531149652
GCC,SVC,BERT,0.607607608,0.544364645,0.58066667,0.607607608,0.573921459
GCC,KNeighborsClassifier,TF-IDF,0.571571572,0.523027816,0.54981433,0.571571572,0.554202852
GCC,KNeighborsClassifier,BERT,0.581581582,0.551622587,0.575358299,0.581581582,0.577889253
GCC,MultinomialNB,TF-IDF,0.625625626,0.533895729,0.609384027,0.625625626,0.542902461
GCC,MultinomialNB,BERT,0.627627628,0.539329685,0.611029211,0.627627628,0.552759108
GCC,MLPClassifier,TF-IDF,0.575575576,0.533420733,0.55947908,0.575575576,0.563753239
GCC,MLPClassifier,BERT,0.613613614,0.515541876,0.576976186,0.613613614,0.513663958
GCC,RandomForestClassifier,TF-IDF,0.57957958,0.515788874,0.544814032,0.57957958,0.544782121
GCC,RandomForestClassifier,BERT,0.623623624,0.534636723,0.602107491,0.623623624,0.546912853
GCC,SVC,TF-IDF,0.616616617,0.524167807,0.585883776,0.616616617,0.531336086
GCC,SVC,BERT,0.621621622,0.55627755,0.598220117,0.621621622,0.585491805
GCC,KNeighborsClassifier,TF-IDF,0.553553554,0.506896945,0.53254635,0.553553554,0.538181142
GCC,KNeighborsClassifier,BERT,0.568568569,0.537676699,0.561880801,0.568568569,0.564624977
GCC,MultinomialNB,TF-IDF,0.614614615,0.523958808,0.580871737,0.614614615,0.533363877
GCC,MultinomialNB,BERT,0.602602603,0.511779906,0.552163189,0.602602603,0.519943299
GCC,MLPClassifier,TF-IDF,0.538538539,0.496067031,0.521384796,0.538538539,0.527103658
GCC,MLPClassifier,BERT,0.617617618,0.506459948,0.764569398,0.617617618,0.476780113
GCC,RandomForestClassifier,TF-IDF,0.563563564,0.500341997,0.525777411,0.563563564,0.529404105
GCC,RandomForestClassifier,BERT,0.601601602,0.514762882,0.55462219,0.601601602,0.527854698
GCC,SVC,TF-IDF,0.625625626,0.534845721,0.608403217,0.625625626,0.545087325
GCC,SVC,BERT,0.610610611,0.543965648,0.582855712,0.610610611,0.57245383
GCC,KNeighborsClassifier,TF-IDF,0.573573574,0.524186807,0.551222664,0.573573574,0.555375409
GCC,KNeighborsClassifier,BERT,0.594594595,0.558443532,0.58351834,0.594594595,0.586875031
GCC,MultinomialNB,TF-IDF,0.623623624,0.537961696,0.600600601,0.623623624,0.553953182
GCC,MultinomialNB,BERT,0.636636637,0.555232558,0.624259753,0.636636637,0.576134029
GCC,MLPClassifier,TF-IDF,0.565565566,0.516700866,0.543096322,0.565565566,0.547953359
GCC,MLPClassifier,BERT,0.627627628,0.526979784,0.639037214,0.627627628,0.52224274
GCC,RandomForestClassifier,TF-IDF,0.592592593,0.533059736,0.564452636,0.592592593,0.56334703
GCC,RandomForestClassifier,BERT,0.614614615,0.525858793,0.581217068,0.614614615,0.537656632
GCC,SVC,TF-IDF,0.610610611,0.519740842,0.571099418,0.610610611,0.528515709
GCC,SVC,BERT,0.611611612,0.548582611,0.585924644,0.611611612,0.5782692
GCC,KNeighborsClassifier,TF-IDF,0.588588589,0.537391701,0.56615688,0.588588589,0.568506351
GCC,KNeighborsClassifier,BERT,0.595595596,0.569710442,0.592206143,0.595595596,0.593711724
GCC,MultinomialNB,TF-IDF,0.63963964,0.551033592,0.640436058,0.63963964,0.565189731
GCC,MultinomialNB,BERT,0.625625626,0.541495668,0.604175604,0.625625626,0.559175785
GCC,MLPClassifier,TF-IDF,0.575575576,0.530570755,0.557106372,0.575575576,0.561375372
GCC,MLPClassifier,BERT,0.636636637,0.558557532,0.621994238,0.636636637,0.581990835
GCC,RandomForestClassifier,TF-IDF,0.602602603,0.543129655,0.576624639,0.602602603,0.573513659
GCC,RandomForestClassifier,BERT,0.635635636,0.555365557,0.621523377,0.635635636,0.577112247
GCC,SVC,TF-IDF,0.630630631,0.540355677,0.620622603,0.630630631,0.55170097
