Dataset,Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score
GCC,KNeighborsClassifier,TF-IDF,0.573,0.522850549,0.549735502,0.573,0.553722357
GCC,KNeighborsClassifier,DistilBERT,0.566,0.531753251,0.556280214,0.566,0.559880987
GCC,MultinomialNB,TF-IDF,0.619,0.529773937,0.592400814,0.619,0.54023189
GCC,MultinomialNB,DistilBERT,0.601,0.522614716,0.561514338,0.601,0.543091978
GCC,MLPClassifier,TF-IDF,0.587,0.534760124,0.563452269,0.587,0.565516136
GCC,MLPClassifier,DistilBERT,0.609,0.523490668,0.57109082,0.609,0.537555198
GCC,RandomForestClassifier,TF-IDF,0.614,0.550215619,0.588781358,0.614,0.579235104
GCC,RandomForestClassifier,DistilBERT,0.613,0.52440031,0.57837469,0.613,0.535132132
GCC,SVC,TF-IDF,0.611,0.515691328,0.570720781,0.611,0.516682821
GCC,SVC,DistilBERT,0.617,0.541818274,0.589185875,0.617,0.565452036
GCC,KNeighborsClassifier,TF-IDF,0.557,0.498458662,0.52331097,0.557,0.528400348
GCC,KNeighborsClassifier,DistilBERT,0.574,0.534044202,0.559490223,0.574,0.563690306
GCC,MultinomialNB,TF-IDF,0.624,0.534802237,0.604474567,0.624,0.545738868
GCC,MultinomialNB,DistilBERT,0.611,0.526539654,0.575621609,0.611,0.541881943
GCC,MLPClassifier,TF-IDF,0.56,0.507512971,0.533298748,0.56,0.538396898
GCC,MLPClassifier,DistilBERT,0.622,0.515716596,0.661396542,0.622,0.496788587
GCC,RandomForestClassifier,TF-IDF,0.567,0.501440267,0.526897966,0.567,0.529031083
GCC,RandomForestClassifier,DistilBERT,0.643,0.559758439,0.640465144,0.643,0.578672383
GCC,SVC,TF-IDF,0.605,0.516449363,0.560416524,0.605,0.526598103
GCC,SVC,DistilBERT,0.613,0.5385503,0.583086951,0.613,0.562488332
GCC,KNeighborsClassifier,TF-IDF,0.606,0.551226332,0.583467603,0.606,0.581850766
GCC,KNeighborsClassifier,DistilBERT,0.586,0.545734789,0.571537728,0.586,0.575269117
GCC,MultinomialNB,TF-IDF,0.625,0.535147564,0.607496464,0.625,0.545354597
GCC,MultinomialNB,DistilBERT,0.628,0.547503537,0.608290716,0.628,0.56773964
GCC,MLPClassifier,TF-IDF,0.6,0.5529277,0.581476315,0.6,0.583458721
GCC,MLPClassifier,DistilBERT,0.636,0.54696449,0.634185788,0.636,0.559208772
GCC,RandomForestClassifier,TF-IDF,0.611,0.552952968,0.587658675,0.611,0.583238805
GCC,RandomForestClassifier,DistilBERT,0.637,0.551083148,0.631323437,0.637,0.566896315
GCC,SVC,TF-IDF,0.623,0.531626912,0.603696046,0.623,0.539652147
GCC,SVC,DistilBERT,0.626,0.54728455,0.604168398,0.626,0.568838091
GCC,KNeighborsClassifier,TF-IDF,0.58,0.526211172,0.554315087,0.58,0.556889874
GCC,KNeighborsClassifier,DistilBERT,0.594,0.56076073,0.584889183,0.594,0.587986317
GCC,MultinomialNB,TF-IDF,0.605,0.513619365,0.557630706,0.605,0.519974011
GCC,MultinomialNB,DistilBERT,0.617,0.53332828,0.587690421,0.617,0.549898812
GCC,MLPClassifier,TF-IDF,0.578,0.531180513,0.557975765,0.578,0.561869334
GCC,MLPClassifier,DistilBERT,0.629,0.54077387,0.615667774,0.629,0.553330693
GCC,RandomForestClassifier,TF-IDF,0.585,0.521334479,0.551578397,0.585,0.549900512
GCC,RandomForestClassifier,DistilBERT,0.619,0.534962267,0.591658933,0.619,0.551303394
GCC,SVC,TF-IDF,0.622,0.531281585,0.600558612,0.622,0.540087077
GCC,SVC,DistilBERT,0.625,0.547882555,0.602214156,0.625,0.570575168
GCC,KNeighborsClassifier,TF-IDF,0.576576577,0.540887673,0.56579151,0.576576577,0.569485761
GCC,KNeighborsClassifier,DistilBERT,0.572572573,0.539519684,0.563991472,0.572572573,0.567254287
GCC,MultinomialNB,TF-IDF,0.635635636,0.545390637,0.633532557,0.635635636,0.557250765
GCC,MultinomialNB,DistilBERT,0.60960961,0.532223742,0.576100127,0.60960961,0.554713078
GCC,MLPClassifier,TF-IDF,0.574574575,0.529753762,0.556211965,0.574574575,0.560546417
GCC,MLPClassifier,DistilBERT,0.594594595,0.555593555,0.581459175,0.594594595,0.584894618
GCC,RandomForestClassifier,TF-IDF,0.600600601,0.536745706,0.57130734,0.600600601,0.566001312
GCC,RandomForestClassifier,DistilBERT,0.635635636,0.552040584,0.624203481,0.635635636,0.570962529
GCC,SVC,TF-IDF,0.614614615,0.523008816,0.580726533,0.614614615,0.531149652
GCC,SVC,DistilBERT,0.625625626,0.551470588,0.602623378,0.625625626,0.576852577
GCC,KNeighborsClassifier,TF-IDF,0.571571572,0.523027816,0.54981433,0.571571572,0.554202852
GCC,KNeighborsClassifier,DistilBERT,0.557557558,0.522989816,0.547895969,0.557557558,0.551592031
GCC,MultinomialNB,TF-IDF,0.625625626,0.533895729,0.609384027,0.625625626,0.542902461
GCC,MultinomialNB,DistilBERT,0.617617618,0.533534732,0.588195721,0.617617618,0.550696953
GCC,MLPClassifier,TF-IDF,0.56956957,0.517118863,0.544075672,0.56956957,0.548310374
GCC,MLPClassifier,DistilBERT,0.617617618,0.520709834,0.590328263,0.617617618,0.521236236
GCC,RandomForestClassifier,TF-IDF,0.58958959,0.524433805,0.556195306,0.58958959,0.55306569
GCC,RandomForestClassifier,DistilBERT,0.626626627,0.540887673,0.606999739,0.626626627,0.55702975
GCC,SVC,TF-IDF,0.616616617,0.524167807,0.585883776,0.616616617,0.531336086
GCC,SVC,DistilBERT,0.594594595,0.524718802,0.558849747,0.594594595,0.551366185
GCC,KNeighborsClassifier,TF-IDF,0.553553554,0.506896945,0.53254635,0.553553554,0.538181142
GCC,KNeighborsClassifier,DistilBERT,0.56956957,0.535643715,0.560298303,0.56956957,0.563766003
GCC,MultinomialNB,TF-IDF,0.614614615,0.523958808,0.580871737,0.614614615,0.533363877
GCC,MultinomialNB,DistilBERT,0.607607608,0.524414805,0.569354526,0.607607608,0.541802128
GCC,MLPClassifier,TF-IDF,0.543543544,0.507276942,0.53252259,0.543543544,0.536739077
GCC,MLPClassifier,DistilBERT,0.608608609,0.561806506,0.591101659,0.608608609,0.592534295
GCC,RandomForestClassifier,TF-IDF,0.562562563,0.5,0.525363201,0.562562563,0.529285502
GCC,RandomForestClassifier,DistilBERT,0.614614615,0.526333789,0.581313558,0.614614615,0.53870231
GCC,SVC,TF-IDF,0.625625626,0.534845721,0.608403217,0.625625626,0.545087325
